DataType,Size,Ratio,Algorithm,MeanTime(ns),StdDeviation(ns),AllSorted
AlmostSorted,4,0.416667,cuda_heap_sort,0,0,true
AlmostSorted,4,0.416667,cuda_insertion_sort,0,0,true
AlmostSorted,4,0.416667,cuda_selection_sort,0,0,true
AlmostSorted,4,0.416667,cuda_shell_sort,0,0,true
AlmostSorted,8,0,cuda_bubble_sort,1.87244e+06,24760.7,true
AlmostSorted,8,0,cuda_merge_sort,570041,11657.8,true
AlmostSorted,8,0,cuda_counting_sort,421176,21004.7,true
AlmostSorted,8,0,cuda_radix_sort,606751,29100.7,true
AlmostSorted,8,0,cuda_heap_sort,0,0,true
AlmostSorted,8,0,cuda_insertion_sort,0,0,true
AlmostSorted,8,0,cuda_selection_sort,0,0,true
AlmostSorted,8,0,cuda_shell_sort,0,0,true
AlmostSorted,8,0.0833333,cuda_bubble_sort,1.85814e+06,12105.8,true
AlmostSorted,8,0.0833333,cuda_merge_sort,575685,14440,true
AlmostSorted,8,0.0833333,cuda_counting_sort,432997,34316,true
AlmostSorted,8,0.0833333,cuda_radix_sort,618679,38450.6,true
AlmostSorted,8,0.0833333,cuda_heap_sort,0,0,true
AlmostSorted,8,0.0833333,cuda_insertion_sort,0,0,true
AlmostSorted,8,0.0833333,cuda_selection_sort,0,0,true
AlmostSorted,8,0.0833333,cuda_shell_sort,0,0,true
AlmostSorted,8,0.166667,cuda_bubble_sort,1.87107e+06,25411.7,true
AlmostSorted,8,0.166667,cuda_merge_sort,570468,10629.2,true
AlmostSorted,8,0.166667,cuda_counting_sort,417340,18834.5,true
AlmostSorted,8,0.166667,cuda_radix_sort,619127,37312.2,true
AlmostSorted,8,0.166667,cuda_heap_sort,0,0,true
AlmostSorted,8,0.166667,cuda_insertion_sort,0,0,true
AlmostSorted,8,0.166667,cuda_selection_sort,0,0,true
AlmostSorted,8,0.166667,cuda_shell_sort,0,0,true
AlmostSorted,8,0.25,cuda_bubble_sort,1.88393e+06,24950.5,true
AlmostSorted,8,0.25,cuda_merge_sort,585850,11932.7,true
AlmostSorted,8,0.25,cuda_counting_sort,428803,22542.1,true
AlmostSorted,8,0.25,cuda_radix_sort,640466,39969.5,true
AlmostSorted,8,0.25,cuda_heap_sort,0,0,true
AlmostSorted,8,0.25,cuda_insertion_sort,0,0,true
AlmostSorted,8,0.25,cuda_selection_sort,0,0,true
AlmostSorted,8,0.25,cuda_shell_sort,0,0,true
AlmostSorted,8,0.333333,cuda_bubble_sort,1.87929e+06,22787.1,true
AlmostSorted,8,0.333333,cuda_merge_sort,579510,14895.2,true
AlmostSorted,8,0.333333,cuda_counting_sort,421584,26390.7,true
AlmostSorted,8,0.333333,cuda_radix_sort,637548,35726.5,true
AlmostSorted,8,0.333333,cuda_heap_sort,0,0,true
AlmostSorted,8,0.333333,cuda_insertion_sort,0,0,true
AlmostSorted,8,0.333333,cuda_selection_sort,0,0,true
AlmostSorted,8,0.333333,cuda_shell_sort,0,0,true
AlmostSorted,8,0.416667,cuda_bubble_sort,1.87331e+06,25583.6,true
AlmostSorted,8,0.416667,cuda_merge_sort,569907,20213.2,true
AlmostSorted,8,0.416667,cuda_counting_sort,410192,19843.1,true
AlmostSorted,8,0.416667,cuda_radix_sort,625151,34097.5,true
AlmostSorted,8,0.416667,cuda_heap_sort,0,0,true
AlmostSorted,8,0.416667,cuda_insertion_sort,0,0,true
AlmostSorted,8,0.416667,cuda_selection_sort,0,0,true
AlmostSorted,8,0.416667,cuda_shell_sort,0,0,true
AlmostSorted,16,0,cuda_bubble_sort,6.91521e+06,286714,true
AlmostSorted,16,0,cuda_merge_sort,883418,200214,true
AlmostSorted,16,0,cuda_counting_sort,497749,210882,true
AlmostSorted,16,0,cuda_radix_sort,822512,259523,true
AlmostSorted,16,0,cuda_heap_sort,0,0,true
AlmostSorted,16,0,cuda_insertion_sort,0,0,true
AlmostSorted,16,0,cuda_selection_sort,0,0,true
AlmostSorted,16,0,cuda_shell_sort,0,0,true
AlmostSorted,16,0.0833333,cuda_bubble_sort,7.24968e+06,397642,true
AlmostSorted,16,0.0833333,cuda_merge_sort,1.12775e+06,375162,true
AlmostSorted,16,0.0833333,cuda_counting_sort,745823,376274,true
AlmostSorted,16,0.0833333,cuda_radix_sort,1.05583e+06,397332,true
AlmostSorted,16,0.0833333,cuda_heap_sort,0,0,true
AlmostSorted,16,0.0833333,cuda_insertion_sort,0,0,true
AlmostSorted,16,0.0833333,cuda_selection_sort,0,0,true
AlmostSorted,16,0.0833333,cuda_shell_sort,0,0,true
AlmostSorted,16,0.166667,cuda_bubble_sort,6.78459e+06,24499.8,true
AlmostSorted,16,0.166667,cuda_merge_sort,792951,12659.7,true
AlmostSorted,16,0.166667,cuda_counting_sort,424647,24289.1,true
AlmostSorted,16,0.166667,cuda_radix_sort,688806,35236.4,true
AlmostSorted,16,0.166667,cuda_heap_sort,0,0,true
AlmostSorted,16,0.166667,cuda_insertion_sort,0,0,true
AlmostSorted,16,0.166667,cuda_selection_sort,0,0,true
AlmostSorted,16,0.166667,cuda_shell_sort,0,0,true
AlmostSorted,16,0.25,cuda_bubble_sort,6.77022e+06,30414.3,true
AlmostSorted,16,0.25,cuda_merge_sort,795251,16869,true
AlmostSorted,16,0.25,cuda_counting_sort,413054,20431.4,true
AlmostSorted,16,0.25,cuda_radix_sort,692578,26355.1,true
AlmostSorted,16,0.25,cuda_heap_sort,0,0,true
AlmostSorted,16,0.25,cuda_insertion_sort,0,0,true
AlmostSorted,16,0.25,cuda_selection_sort,0,0,true
AlmostSorted,16,0.25,cuda_shell_sort,0,0,true
AlmostSorted,16,0.333333,cuda_bubble_sort,6.77399e+06,26264.7,true
AlmostSorted,16,0.333333,cuda_merge_sort,787095,6104.88,true
AlmostSorted,16,0.333333,cuda_counting_sort,413580,22760.7,true
AlmostSorted,16,0.333333,cuda_radix_sort,677219,18694.7,true
AlmostSorted,16,0.333333,cuda_heap_sort,0,0,true
AlmostSorted,16,0.333333,cuda_insertion_sort,0,0,true
AlmostSorted,16,0.333333,cuda_selection_sort,0,0,true
AlmostSorted,16,0.333333,cuda_shell_sort,0,0,true
AlmostSorted,16,0.416667,cuda_bubble_sort,6.78073e+06,26727.4,true
AlmostSorted,16,0.416667,cuda_merge_sort,786423,7431.15,true
AlmostSorted,16,0.416667,cuda_counting_sort,427895,85433.9,true
AlmostSorted,16,0.416667,cuda_radix_sort,685553,18251.2,true
AlmostSorted,16,0.416667,cuda_heap_sort,0,0,true
AlmostSorted,16,0.416667,cuda_insertion_sort,0,0,true
AlmostSorted,16,0.416667,cuda_selection_sort,0,0,true
AlmostSorted,16,0.416667,cuda_shell_sort,0,0,true
AlmostSorted,32,0,cuda_bubble_sort,2.68276e+07,43444.1,true
AlmostSorted,32,0,cuda_merge_sort,1.24061e+06,26137.7,true
AlmostSorted,32,0,cuda_counting_sort,432547,22132.2,true
AlmostSorted,32,0,cuda_radix_sort,772166,35985.4,true
AlmostSorted,32,0,cuda_heap_sort,0,0,true
AlmostSorted,32,0,cuda_insertion_sort,0,0,true
AlmostSorted,32,0,cuda_selection_sort,0,0,true
AlmostSorted,32,0,cuda_shell_sort,0,0,true
AlmostSorted,32,0.0833333,cuda_bubble_sort,2.68801e+07,130641,true
AlmostSorted,32,0.0833333,cuda_merge_sort,1.32483e+06,150916,true
AlmostSorted,32,0.0833333,cuda_counting_sort,484367,56830.3,true
AlmostSorted,32,0.0833333,cuda_radix_sort,806879,50968.3,true
