DataType,Size,Ratio,Algorithm,MeanTime(ns),StdDeviation(ns),AllSorted
AlmostSorted,8,0.0833333,counting_sort,184.062,29.8093,true
AlmostSorted,8,0.0833333,radix_sort,794,120.991,true
AlmostSorted,8,0.0833333,heap_sort,560,101.193,true
AlmostSorted,8,0.0833333,insertion_sort,200,29.7904,true
AlmostSorted,8,0.0833333,selection_sort,408.125,50.2379,true
AlmostSorted,8,0.0833333,shell_sort,306,53.5064,true
AlmostSorted,8,0.166667,bubble_sort,276,28.322,true
AlmostSorted,8,0.166667,merge_sort,2096.06,85.7784,true
AlmostSorted,8,0.166667,counting_sort,192,30.9149,true
AlmostSorted,8,0.166667,radix_sort,800.062,135.875,true
AlmostSorted,8,0.166667,heap_sort,596,70.9554,true
AlmostSorted,8,0.166667,insertion_sort,242,42.0793,true
AlmostSorted,8,0.166667,selection_sort,422,45.5836,true
AlmostSorted,8,0.166667,shell_sort,418.125,62.4103,true
AlmostSorted,8,0.25,bubble_sort,274,46.6933,true
AlmostSorted,8,0.25,merge_sort,2084.06,63.9296,true
AlmostSorted,8,0.25,counting_sort,198.062,23.9846,true
AlmostSorted,8,0.25,radix_sort,684,143.525,true
AlmostSorted,8,0.25,heap_sort,532,96.2663,true
AlmostSorted,8,0.25,insertion_sort,250,42.4829,true
AlmostSorted,8,0.25,selection_sort,356,70.9554,true
AlmostSorted,8,0.25,shell_sort,356,52.0922,true
AlmostSorted,8,0.333333,bubble_sort,354.062,31.9301,true
AlmostSorted,8,0.333333,merge_sort,2162.12,69.0631,true
AlmostSorted,8,0.333333,counting_sort,190,27.3252,true
AlmostSorted,8,0.333333,radix_sort,800,124.211,true
AlmostSorted,8,0.333333,heap_sort,576.062,49.6178,true
AlmostSorted,8,0.333333,insertion_sort,268,45.0659,true
AlmostSorted,8,0.333333,selection_sort,422.062,59.8604,true
AlmostSorted,8,0.333333,shell_sort,390,51.225,true
AlmostSorted,8,0.416667,bubble_sort,372.062,66.9452,true
AlmostSorted,8,0.416667,merge_sort,2098.06,96.9828,true
AlmostSorted,8,0.416667,counting_sort,182.062,34.5224,true
AlmostSorted,8,0.416667,radix_sort,796,88.8924,true
AlmostSorted,8,0.416667,heap_sort,574.062,56.5715,true
AlmostSorted,8,0.416667,insertion_sort,282,42.4829,true
AlmostSorted,8,0.416667,selection_sort,456.062,67.6229,true
AlmostSorted,8,0.416667,shell_sort,452,58.2775,true
AlmostSorted,16,0,bubble_sort,172,40.2658,true
AlmostSorted,16,0,merge_sort,4118.12,163.203,true
AlmostSorted,16,0,counting_sort,310,36.4271,true
AlmostSorted,16,0,radix_sort,1058,151.212,true
AlmostSorted,16,0,heap_sort,1128.12,193.852,true
AlmostSorted,16,0,insertion_sort,228,46.5561,true
AlmostSorted,16,0,selection_sort,980,80.8488,true
AlmostSorted,16,0,shell_sort,458.062,78.9991,true
AlmostSorted,16,0.0833333,bubble_sort,470.062,93.257,true
AlmostSorted,16,0.0833333,merge_sort,4368.06,177.623,true
AlmostSorted,16,0.0833333,counting_sort,282,31.3943,true
AlmostSorted,16,0.0833333,radix_sort,1470.06,162.107,true
AlmostSorted,16,0.0833333,heap_sort,1432,179.314,true
AlmostSorted,16,0.0833333,insertion_sort,356,48,true
AlmostSorted,16,0.0833333,selection_sort,1046.06,85.6991,true
AlmostSorted,16,0.0833333,shell_sort,712.062,54.1313,true
AlmostSorted,16,0.166667,bubble_sort,612,73.7853,true
AlmostSorted,16,0.166667,merge_sort,4498.06,128.507,true
AlmostSorted,16,0.166667,counting_sort,292,25.7992,true
AlmostSorted,16,0.166667,radix_sort,1610.06,128.809,true
AlmostSorted,16,0.166667,heap_sort,1502,140.93,true
AlmostSorted,16,0.166667,insertion_sort,434,54.7674,true
AlmostSorted,16,0.166667,selection_sort,1134.06,68.1513,true
AlmostSorted,16,0.166667,shell_sort,832,85.865,true
AlmostSorted,16,0.25,bubble_sort,712,81.3749,true
AlmostSorted,16,0.25,merge_sort,4642.19,143.3,true
AlmostSorted,16,0.25,counting_sort,286,29.7187,true
AlmostSorted,16,0.25,radix_sort,1588.12,99.8939,true
AlmostSorted,16,0.25,heap_sort,1376.06,126.895,true
AlmostSorted,16,0.25,insertion_sort,478,55.3871,true
AlmostSorted,16,0.25,selection_sort,2712,6104.64,true
AlmostSorted,16,0.25,shell_sort,936,57.8366,true
AlmostSorted,16,0.333333,bubble_sort,874,74.5618,true
AlmostSorted,16,0.333333,merge_sort,4596.25,170.915,true
AlmostSorted,16,0.333333,counting_sort,278,30.2875,true
AlmostSorted,16,0.333333,radix_sort,1660.19,133.553,true
AlmostSorted,16,0.333333,heap_sort,1384.06,149.463,true
AlmostSorted,16,0.333333,insertion_sort,576,92.0058,true
AlmostSorted,16,0.333333,selection_sort,1270,66.8371,true
AlmostSorted,16,0.333333,shell_sort,1012,79.1421,true
AlmostSorted,16,0.416667,bubble_sort,996,77.3977,true
AlmostSorted,16,0.416667,merge_sort,4774.12,182.599,true
AlmostSorted,16,0.416667,counting_sort,274,32.9848,true
AlmostSorted,16,0.416667,radix_sort,1664.06,54.768,true
AlmostSorted,16,0.416667,heap_sort,1414,98.609,true
AlmostSorted,16,0.416667,insertion_sort,640.062,64.0671,true
AlmostSorted,16,0.416667,selection_sort,1342.12,76.9319,true
AlmostSorted,16,0.416667,shell_sort,1110,143.926,true
AlmostSorted,32,0,bubble_sort,254,41.2602,true
AlmostSorted,32,0,merge_sort,8354.5,239.257,true
AlmostSorted,32,0,counting_sort,504,111.159,true
AlmostSorted,32,0,radix_sort,2694.06,1735.63,true
AlmostSorted,32,0,heap_sort,2486.06,390.622,true
AlmostSorted,32,0,insertion_sort,374,41.6717,true
AlmostSorted,32,0,selection_sort,3026.06,68.116,true
AlmostSorted,32,0,shell_sort,932,75.6131,true
AlmostSorted,32,0.0833333,bubble_sort,1068,101.781,true
AlmostSorted,32,0.0833333,merge_sort,9084.19,297.003,true
AlmostSorted,32,0.0833333,counting_sort,478,37.8065,true
AlmostSorted,32,0.0833333,radix_sort,3094.12,135.555,true
AlmostSorted,32,0.0833333,heap_sort,3334.12,206.111,true
AlmostSorted,32,0.0833333,insertion_sort,696,59.0051,true
AlmostSorted,32,0.0833333,selection_sort,3394.06,104.143,true
AlmostSorted,32,0.0833333,shell_sort,1696.12,121.01,true
AlmostSorted,32,0.166667,bubble_sort,1728,185.121,true
AlmostSorted,32,0.166667,merge_sort,9410.38,232.117,true
AlmostSorted,32,0.166667,counting_sort,484,25.7992,true
AlmostSorted,32,0.166667,radix_sort,3372.25,150.626,true
AlmostSorted,32,0.166667,heap_sort,3338,167.185,true
AlmostSorted,32,0.166667,insertion_sort,996,69.9867,true
AlmostSorted,32,0.166667,selection_sort,3710.19,105.025,true
AlmostSorted,32,0.166667,shell_sort,2106,134.866,true
AlmostSorted,32,0.25,bubble_sort,2250.06,183.95,true
AlmostSorted,32,0.25,merge_sort,9974.38,1384.76,true
AlmostSorted,32,0.25,counting_sort,474,37.3524,true
AlmostSorted,32,0.25,radix_sort,3586.19,152.124,true
AlmostSorted,32,0.25,heap_sort,3358.06,145.226,true
AlmostSorted,32,0.25,insertion_sort,1200.12,89.6816,true
AlmostSorted,32,0.25,selection_sort,3838.19,120.66,true
AlmostSorted,32,0.25,shell_sort,2388,205.358,true
AlmostSorted,32,0.333333,bubble_sort,2768.12,159.145,true
AlmostSorted,32,0.333333,merge_sort,9898.31,249.137,true
AlmostSorted,32,0.333333,counting_sort,476.062,38.5961,true
AlmostSorted,32,0.333333,radix_sort,3776.12,172.561,true
AlmostSorted,32,0.333333,heap_sort,3472.06,150.115,true
AlmostSorted,32,0.333333,insertion_sort,1404,136.704,true
AlmostSorted,32,0.333333,selection_sort,3852.12,112.005,true
AlmostSorted,32,0.333333,shell_sort,2506.06,200.338,true
AlmostSorted,32,0.416667,bubble_sort,3256,149.866,true
AlmostSorted,32,0.416667,merge_sort,10030.4,259.246,true
AlmostSorted,32,0.416667,counting_sort,456,41.3118,true
AlmostSorted,32,0.416667,radix_sort,3942.19,121.58,true
AlmostSorted,32,0.416667,heap_sort,3486.06,116.575,true
AlmostSorted,32,0.416667,insertion_sort,1532,126.322,true
AlmostSorted,32,0.416667,selection_sort,3948,129.524,true
AlmostSorted,32,0.416667,shell_sort,2588.12,166.473,true
AlmostSorted,64,0,bubble_sort,414,52.8646,true
AlmostSorted,64,0,merge_sort,17302.8,2267.25,true
AlmostSorted,64,0,counting_sort,868.062,68.97,true
AlmostSorted,64,0,radix_sort,4646.12,193.016,true
AlmostSorted,64,0,heap_sort,5384.06,1128,true
AlmostSorted,64,0,insertion_sort,646,53.8244,true
AlmostSorted,64,0,selection_sort,10506.4,79.1656,true
AlmostSorted,64,0,shell_sort,1946.12,68.3958,true
AlmostSorted,64,0.0833333,bubble_sort,3134.12,450.915,true
AlmostSorted,64,0.0833333,merge_sort,18206.6,353.147,true
AlmostSorted,64,0.0833333,counting_sort,832,26.1279,true
AlmostSorted,64,0.0833333,radix_sort,6054.19,370.136,true
AlmostSorted,64,0.0833333,heap_sort,7788.25,326.576,true
AlmostSorted,64,0.0833333,insertion_sort,1746.12,133.752,true
AlmostSorted,64,0.0833333,selection_sort,11928.4,180.081,true
AlmostSorted,64,0.0833333,shell_sort,4474.12,267.344,true
AlmostSorted,64,0.166667,bubble_sort,5606.25,354.267,true
AlmostSorted,64,0.166667,merge_sort,19026.6,433.639,true
AlmostSorted,64,0.166667,counting_sort,836,25.7992,true
AlmostSorted,64,0.166667,radix_sort,6868.31,296.863,true
AlmostSorted,64,0.166667,heap_sort,7940.25,327.541,true
AlmostSorted,64,0.166667,insertion_sort,2620.12,87.3742,true
AlmostSorted,64,0.166667,selection_sort,12406.4,233.925,true
AlmostSorted,64,0.166667,shell_sort,5258.12,298.386,true
AlmostSorted,64,0.25,bubble_sort,7796.5,382.196,true
AlmostSorted,64,0.25,merge_sort,19862.4,1429.17,true
AlmostSorted,64,0.25,counting_sort,848,33.0495,true
AlmostSorted,64,0.25,radix_sort,7520.5,263.288,true
AlmostSorted,64,0.25,heap_sort,7994.38,286.442,true
AlmostSorted,64,0.25,insertion_sort,3424,163.169,true
AlmostSorted,64,0.25,selection_sort,12658.5,172.74,true
AlmostSorted,64,0.25,shell_sort,5784.19,308.74,true
AlmostSorted,64,0.333333,bubble_sort,9906.38,593.769,true
AlmostSorted,64,0.333333,merge_sort,20056.7,302.034,true
