DataType,Size,Ratio,Algorithm,CPU_MeanTime(ns),CPU_StdDeviation(ns),CPU_AllSorted,CUDA_MeanTime(ns),CUDA_StdDeviation(ns),CUDA_AllSorted,Speedup
AlmostInverted,8,0.0833333,heap_sort,502,79.0072,true,0,0,true,0
AlmostInverted,8,0.166667,bubble_sort,556,52.0922,true,1.87514e+06,25319.6,true,0.000296511
AlmostInverted,8,0.166667,merge_sort,2116.06,91.8408,true,571693,11427.5,true,0.00370139
AlmostInverted,8,0.166667,counting_sort,198,31.3943,true,410824,18826.6,true,0.000481958
AlmostInverted,8,0.166667,radix_sort,670.062,97.3259,true,620711,25319.6,true,0.00107951
AlmostInverted,8,0.166667,heap_sort,526,84.2346,true,0,0,true,0
AlmostInverted,8,0.25,bubble_sort,528,92.0058,true,1.87048e+06,30719.2,true,0.00028228
AlmostInverted,8,0.25,merge_sort,2092.06,63.8211,true,568689,7915.29,true,0.00367874
AlmostInverted,8,0.25,counting_sort,200,34.0666,true,415060,23294.9,true,0.000481858
AlmostInverted,8,0.25,radix_sort,634.062,105.288,true,613359,24906.3,true,0.00103375
AlmostInverted,8,0.25,heap_sort,522,89.5381,true,0,0,true,0
AlmostInverted,8,0.333333,bubble_sort,572.062,130.527,true,1.86937e+06,20151.5,true,0.000306019
AlmostInverted,8,0.333333,merge_sort,2176.06,348.394,true,577404,15941.6,true,0.0037687
AlmostInverted,8,0.333333,counting_sort,208,35.0542,true,409586,17723.6,true,0.00050783
AlmostInverted,8,0.333333,radix_sort,752,89.7523,true,618127,23695.6,true,0.00121658
AlmostInverted,8,0.333333,heap_sort,540,85.7656,true,0,0,true,0
AlmostInverted,8,0.416667,bubble_sort,584,65.5805,true,1.89355e+06,29355.6,true,0.000308416
AlmostInverted,8,0.416667,merge_sort,2120.06,84.6581,true,587474,11826.7,true,0.00360878
AlmostInverted,8,0.416667,counting_sort,206,30.8459,true,434413,15781.3,true,0.000474203
AlmostInverted,8,0.416667,radix_sort,748.062,88.7637,true,637038,34858.1,true,0.00117428
AlmostInverted,8,0.416667,heap_sort,556,79.1421,true,0,0,true,0
AlmostInverted,16,0,bubble_sort,1616.06,110.321,true,6.77405e+06,28022.5,true,0.000238567
AlmostInverted,16,0,merge_sort,4730.12,146.503,true,788491,13003.9,true,0.00599896
AlmostInverted,16,0,counting_sort,338,30.8459,true,408576,17145.6,true,0.000827264
AlmostInverted,16,0,radix_sort,968.125,77.1085,true,696020,20837.9,true,0.00139095
AlmostInverted,16,0,heap_sort,888.062,137.502,true,0,0,true,0
AlmostInverted,16,0.0833333,bubble_sort,1746.06,110.841,true,6.76743e+06,27346.9,true,0.00025801
AlmostInverted,16,0.0833333,merge_sort,4720.25,148.537,true,806809,30676.3,true,0.00585052
AlmostInverted,16,0.0833333,counting_sort,318,35.9555,true,425508,28262.1,true,0.000747341
AlmostInverted,16,0.0833333,radix_sort,1398,177.485,true,679437,17840.3,true,0.00205759
AlmostInverted,16,0.0833333,heap_sort,1210.12,146.968,true,0,0,true,0
AlmostInverted,16,0.166667,bubble_sort,1842,103.836,true,6.77675e+06,36794.1,true,0.000271812
AlmostInverted,16,0.166667,merge_sort,4782.19,140.744,true,789843,13008.2,true,0.00605461
AlmostInverted,16,0.166667,counting_sort,322,31.9333,true,410882,16473.5,true,0.00078368
AlmostInverted,16,0.166667,radix_sort,1572.12,113.076,true,678783,24226.8,true,0.00231609
AlmostInverted,16,0.166667,heap_sort,1310,63.4308,true,0,0,true,0
AlmostInverted,16,0.25,bubble_sort,1926,92.9057,true,6.78407e+06,26736.4,true,0.000283901
AlmostInverted,16,0.25,merge_sort,4790.12,93.2644,true,791677,13913.1,true,0.00605061
AlmostInverted,16,0.25,counting_sort,328,41.3118,true,414240,13060.2,true,0.000791812
AlmostInverted,16,0.25,radix_sort,1604.06,96.8604,true,685753,24290.9,true,0.00233913
AlmostInverted,16,0.25,heap_sort,1330.06,82.5061,true,0,0,true,0
AlmostInverted,16,0.333333,bubble_sort,1970.06,92.7322,true,6.77685e+06,25646,true,0.000290705
AlmostInverted,16,0.333333,merge_sort,4766.19,87.0549,true,789527,9992.94,true,0.00603676
AlmostInverted,16,0.333333,counting_sort,312.062,32.0176,true,425530,27440,true,0.000733349
AlmostInverted,16,0.333333,radix_sort,1640,93.1121,true,682353,24845.8,true,0.00240345
AlmostInverted,16,0.333333,heap_sort,1424.06,113.241,true,0,0,true,0
AlmostInverted,16,0.416667,bubble_sort,1976,57.8366,true,6.77885e+06,25443.9,true,0.000291495
AlmostInverted,16,0.416667,merge_sort,4856.12,151.769,true,800681,13590.6,true,0.00606499
AlmostInverted,16,0.416667,counting_sort,326,33.4983,true,426348,16415.8,true,0.000764633
AlmostInverted,16,0.416667,radix_sort,1706,78.1383,true,683517,30766.3,true,0.00249591
AlmostInverted,16,0.416667,heap_sort,1466.19,108.627,true,0,0,true,0
AlmostInverted,32,0,bubble_sort,5984.19,1113.94,true,2.67885e+07,85689.5,true,0.000223387
AlmostInverted,32,0,merge_sort,9762.44,221.391,true,1.24985e+06,26436.2,true,0.00781091
AlmostInverted,32,0,counting_sort,518,56.3039,true,452617,24684.4,true,0.00114445
AlmostInverted,32,0,radix_sort,2134,91.0502,true,788137,39846.8,true,0.00270765
AlmostInverted,32,0,heap_sort,2014,268.105,true,0,0,true,0
AlmostInverted,32,0.0833333,bubble_sort,6066.25,97.7572,true,2.67912e+07,61518.7,true,0.000226427
AlmostInverted,32,0.0833333,merge_sort,9876.25,182.2,true,1.23766e+06,11139,true,0.0079798
AlmostInverted,32,0.0833333,counting_sort,506,44.0606,true,456398,24491.7,true,0.00110868
AlmostInverted,32,0.0833333,radix_sort,3120.12,147.31,true,792885,46391.5,true,0.00393515
AlmostInverted,32,0.0833333,heap_sort,3064.06,178.303,true,0,0,true,0
AlmostInverted,32,0.166667,bubble_sort,6418.25,144.411,true,2.67777e+07,94368.1,true,0.000239686
AlmostInverted,32,0.166667,merge_sort,9992.38,174.705,true,1.24721e+06,15943.9,true,0.00801175
AlmostInverted,32,0.166667,counting_sort,520,34.0666,true,452887,21107,true,0.00114819
AlmostInverted,32,0.166667,radix_sort,3374.12,113.985,true,794723,26461.1,true,0.00424566
AlmostInverted,32,0.166667,heap_sort,3354.12,166.986,true,0,0,true,0
AlmostInverted,32,0.25,bubble_sort,6672.12,260.379,true,2.67971e+07,65274.3,true,0.000248987
AlmostInverted,32,0.25,merge_sort,10124.5,160.027,true,1.23542e+06,14799.2,true,0.0081952
AlmostInverted,32,0.25,counting_sort,528,35.0542,true,446543,26037.3,true,0.00118242
AlmostInverted,32,0.25,radix_sort,3654,149.738,true,787897,29233.1,true,0.00463766
AlmostInverted,32,0.25,heap_sort,3424.25,212.506,true,0,0,true,0
AlmostInverted,32,0.333333,bubble_sort,6820.31,297.978,true,2.68146e+07,84075.1,true,0.000254351
AlmostInverted,32,0.333333,merge_sort,10122.3,214.04,true,1.24375e+06,25297.6,true,0.00813852
AlmostInverted,32,0.333333,counting_sort,514,41.2602,true,447938,23259.4,true,0.00114748
AlmostInverted,32,0.333333,radix_sort,3878.12,247.67,true,783966,30021.1,true,0.0049468
AlmostInverted,32,0.333333,heap_sort,3444.19,214.097,true,0,0,true,0
AlmostInverted,32,0.416667,bubble_sort,6936.25,244.596,true,2.68319e+07,93303.7,true,0.000258508
AlmostInverted,32,0.416667,merge_sort,10196.4,120.785,true,1.24098e+06,15871.5,true,0.0082164
AlmostInverted,32,0.416667,counting_sort,504,37.8629,true,434197,13133.6,true,0.00116076
AlmostInverted,32,0.416667,radix_sort,4030.19,179.543,true,802735,46180.7,true,0.00502057
AlmostInverted,32,0.416667,heap_sort,3516.12,183.201,true,0,0,true,0
AlmostInverted,64,0,bubble_sort,21518.7,188.753,true,1.07746e+08,211760,true,0.000199716
AlmostInverted,64,0,merge_sort,19170.8,323.285,true,2.1091e+06,27836.8,true,0.00908952
AlmostInverted,64,0,counting_sort,890.062,56.2737,true,452933,31319.9,true,0.00196511
AlmostInverted,64,0,radix_sort,4522.12,114.885,true,935960,62347.9,true,0.00483154
AlmostInverted,64,0,heap_sort,4720.12,889.745,true,0,0,true,0
AlmostInverted,64,0.0833333,bubble_sort,22782.8,430.525,true,1.0766e+08,129552,true,0.000211617
AlmostInverted,64,0.0833333,merge_sort,19918.6,431.529,true,2.13017e+06,50163.5,true,0.00935071
AlmostInverted,64,0.0833333,counting_sort,882,54.7674,true,468728,24325.6,true,0.00188169
AlmostInverted,64,0.0833333,radix_sort,6164.38,459.817,true,889620,31788.9,true,0.00692922
AlmostInverted,64,0.0833333,heap_sort,7352.25,355.504,true,0,0,true,0
AlmostInverted,64,0.166667,bubble_sort,23520.8,480.626,true,1.07709e+08,237613,true,0.000218374
AlmostInverted,64,0.166667,merge_sort,20270.6,217.63,true,2.11298e+06,35366.7,true,0.00959337
AlmostInverted,64,0.166667,counting_sort,886.062,41.7907,true,455886,32399.3,true,0.00194361
AlmostInverted,64,0.166667,radix_sort,6944.25,292.644,true,917175,58614.6,true,0.00757135
AlmostInverted,64,0.166667,heap_sort,7706.25,310.415,true,0,0,true,0
AlmostInverted,64,0.25,bubble_sort,23952.8,705.919,true,1.07716e+08,216147,true,0.00022237
AlmostInverted,64,0.25,merge_sort,20408.7,242.633,true,2.10161e+06,20761.2,true,0.00971096
AlmostInverted,64,0.25,counting_sort,866,37.8065,true,463782,30203.1,true,0.00186726
AlmostInverted,64,0.25,radix_sort,7612.31,353.878,true,922873,60639.8,true,0.00824849
AlmostInverted,64,0.25,heap_sort,7852.31,310.734,true,0,0,true,0
AlmostInverted,64,0.333333,bubble_sort,24242.8,762.938,true,1.07658e+08,153568,true,0.000225184
AlmostInverted,64,0.333333,merge_sort,20577,264.396,true,2.10179e+06,13620.5,true,0.00979021
AlmostInverted,64,0.333333,counting_sort,864,36.9504,true,455177,23651.4,true,0.00189816
AlmostInverted,64,0.333333,radix_sort,8218.06,349.233,true,895926,52539,true,0.0091727
AlmostInverted,64,0.333333,heap_sort,8204.62,342.822,true,0,0,true,0
AlmostInverted,64,0.416667,bubble_sort,24452.8,807.214,true,1.07708e+08,132585,true,0.000227029
AlmostInverted,64,0.416667,merge_sort,20934.4,268.525,true,2.11234e+06,29654.9,true,0.00991056
AlmostInverted,64,0.416667,counting_sort,910,112.057,true,463348,39940,true,0.00196397
AlmostInverted,64,0.416667,radix_sort,8880.69,349.18,true,915127,59406.7,true,0.00970432
AlmostInverted,64,0.416667,heap_sort,8218.25,350.31,true,0,0,true,0
AlmostInverted,128,0,bubble_sort,83826.9,210.387,true,4.3252e+08,359688,true,0.00019381
AlmostInverted,128,0,merge_sort,38847.4,338.905,true,3.85205e+06,32276.2,true,0.0100849
AlmostInverted,128,0,counting_sort,1558.12,39.8746,true,482326,30308.7,true,0.00323044
AlmostInverted,128,0,radix_sort,10390.2,127.554,true,970657,52173,true,0.0107043
AlmostInverted,128,0,heap_sort,11188.4,1906.73,true,0,0,true,0
AlmostInverted,128,0.0833333,bubble_sort,89459.1,1152.26,true,4.32249e+08,644604,true,0.000206962
AlmostInverted,128,0.0833333,merge_sort,41191.3,1373.05,true,3.8427e+06,29902.6,true,0.0107194
AlmostInverted,128,0.0833333,counting_sort,1558.06,53.1996,true,477644,28292,true,0.00326197
AlmostInverted,128,0.0833333,radix_sort,13968.5,440.795,true,972359,32005,true,0.0143656
AlmostInverted,128,0.0833333,heap_sort,17454.6,487.754,true,0,0,true,0
AlmostInverted,128,0.166667,bubble_sort,90927.1,2559.94,true,4.32283e+08,551079,true,0.000210342
AlmostInverted,128,0.166667,merge_sort,42163.4,2391.1,true,3.85343e+06,36370.6,true,0.0109418
AlmostInverted,128,0.166667,counting_sort,1550.06,48.1144,true,477184,22929.3,true,0.00324835
AlmostInverted,128,0.166667,radix_sort,16004.4,374.557,true,961431,21601.4,true,0.0166465
AlmostInverted,128,0.166667,heap_sort,18374.6,432.333,true,0,0,true,0
AlmostInverted,128,0.25,bubble_sort,90671.1,2295.62,true,4.32281e+08,613508,true,0.00020975
AlmostInverted,128,0.25,merge_sort,42223.5,438.56,true,3.84438e+06,35932.3,true,0.0109832
AlmostInverted,128,0.25,counting_sort,1568,61.8299,true,477618,21533,true,0.00328296
AlmostInverted,128,0.25,radix_sort,17710.6,597.999,true,971897,45634.8,true,0.0182227
AlmostInverted,128,0.25,heap_sort,19034.7,626.801,true,0,0,true,0
AlmostInverted,128,0.333333,bubble_sort,90063.1,2138.24,true,4.32818e+08,552483,true,0.000208085
AlmostInverted,128,0.333333,merge_sort,42693.5,432.292,true,3.84119e+06,26952.5,true,0.0111146
AlmostInverted,128,0.333333,counting_sort,1542,53.8244,true,482596,34871,true,0.00319522
AlmostInverted,128,0.333333,radix_sort,18978.6,664.432,true,961259,32392.8,true,0.0197435
AlmostInverted,128,0.333333,heap_sort,19426.8,695.78,true,0,0,true,0
AlmostInverted,128,0.416667,bubble_sort,90091.1,2405.84,true,4.32576e+08,769908,true,0.000208267
AlmostInverted,128,0.416667,merge_sort,43605.5,1721.31,true,3.85286e+06,35621.1,true,0.0113177
AlmostInverted,128,0.416667,counting_sort,1586.06,58.4402,true,485379,29133.2,true,0.00326768
AlmostInverted,128,0.416667,radix_sort,20382.7,732.717,true,966369,29693.9,true,0.021092
AlmostInverted,128,0.416667,heap_sort,19768.7,734.133,true,0,0,true,0
AlmostInverted,256,0,bubble_sort,332165,1032.69,true,1.73048e+09,1.85108e+06,true,0.00019195
AlmostInverted,256,0,merge_sort,79240.7,756.328,true,7.30577e+06,48888,true,0.0108463
AlmostInverted,256,0,counting_sort,2872.06,39.6929,true,533292,34136.2,true,0.00538553
AlmostInverted,256,0,radix_sort,21592.7,105.624,true,1.08097e+06,36249.6,true,0.0199752
AlmostInverted,256,0,heap_sort,31385.1,3137.27,true,0,0,true,0
AlmostInverted,256,0.0833333,bubble_sort,360360,9924.61,true,1.71934e+09,2.02165e+06,true,0.000209592
AlmostInverted,256,0.0833333,merge_sort,84374.9,812.834,true,7.27254e+06,39224.2,true,0.0116018
AlmostInverted,256,0.0833333,counting_sort,2916.25,136.65,true,493579,28423.6,true,0.00590838
AlmostInverted,256,0.0833333,radix_sort,29058.8,1585.34,true,1.05653e+06,37872.8,true,0.027504
AlmostInverted,256,0.0833333,heap_sort,40845.2,920.896,true,0,0,true,0
AlmostInverted,256,0.166667,bubble_sort,357852,7153.62,true,1.72102e+09,1.75527e+06,true,0.000207931
AlmostInverted,256,0.166667,merge_sort,86354.9,802.81,true,7.29568e+06,46068.1,true,0.0118365
AlmostInverted,256,0.166667,counting_sort,2904.12,42.8593,true,502257,30107.3,true,0.00578215
AlmostInverted,256,0.166667,radix_sort,33639.2,1048.44,true,1.04583e+06,21604.2,true,0.0321651
AlmostInverted,256,0.166667,heap_sort,42903.4,1020.48,true,0,0,true,0
AlmostInverted,256,0.25,bubble_sort,351530,7346.71,true,1.72327e+09,1.38037e+06,true,0.00020399
AlmostInverted,256,0.25,merge_sort,87490.9,626.395,true,7.28759e+06,45531.9,true,0.0120055
AlmostInverted,256,0.25,counting_sort,2898,43.6715,true,519172,28552,true,0.00558197
AlmostInverted,256,0.25,radix_sort,38129.3,1263.41,true,1.07362e+06,38771.7,true,0.0355148
AlmostInverted,256,0.25,heap_sort,44653.6,1061,true,0,0,true,0
AlmostInverted,256,0.333333,bubble_sort,343922,5392.44,true,1.72321e+09,1.62481e+06,true,0.000199582
AlmostInverted,256,0.333333,merge_sort,88911.1,666.628,true,7.25106e+06,65782.2,true,0.0122618
AlmostInverted,256,0.333333,counting_sort,2898.12,45.2502,true,488862,47246.9,true,0.0059283
AlmostInverted,256,0.333333,radix_sort,42229.5,2134.34,true,1.07006e+06,56365.4,true,0.0394648
AlmostInverted,256,0.333333,heap_sort,45471.6,1024.27,true,0,0,true,0
AlmostInverted,256,0.416667,bubble_sort,341836,3871.1,true,1.72309e+09,2.45291e+06,true,0.000198385
AlmostInverted,256,0.416667,merge_sort,89873,628.914,true,7.30978e+06,64738.4,true,0.0122949
AlmostInverted,256,0.416667,counting_sort,2904,56.6439,true,491959,41411.7,true,0.00590293
AlmostInverted,256,0.416667,radix_sort,44775.6,1196.82,true,1.05447e+06,33011.6,true,0.0424625
AlmostInverted,256,0.416667,heap_sort,45755.6,1240.31,true,0,0,true,0
