DataType,Size,Ratio,Algorithm,MeanTime(ns),StdDeviation(ns),AllSorted
AlmostInverted,4,0.416667,cuda_shell_sort,0,0,true
AlmostInverted,8,0,cuda_bubble_sort,1.87777e+06,30633.9,true
AlmostInverted,8,0,cuda_merge_sort,569799,12877.8,true
AlmostInverted,8,0,cuda_counting_sort,401922,8113.75,true
AlmostInverted,8,0,cuda_radix_sort,614179,25500.6,true
AlmostInverted,8,0,cuda_heap_sort,0,0,true
AlmostInverted,8,0,cuda_insertion_sort,0,0,true
AlmostInverted,8,0,cuda_selection_sort,0,0,true
AlmostInverted,8,0,cuda_shell_sort,0,0,true
AlmostInverted,8,0.0833333,cuda_bubble_sort,1.87269e+06,24215.1,true
AlmostInverted,8,0.0833333,cuda_merge_sort,567505,8825.39,true
AlmostInverted,8,0.0833333,cuda_counting_sort,409528,18115.9,true
AlmostInverted,8,0.0833333,cuda_radix_sort,613393,29421.2,true
AlmostInverted,8,0.0833333,cuda_heap_sort,0,0,true
AlmostInverted,8,0.0833333,cuda_insertion_sort,0,0,true
AlmostInverted,8,0.0833333,cuda_selection_sort,0,0,true
AlmostInverted,8,0.0833333,cuda_shell_sort,0,0,true
AlmostInverted,8,0.166667,cuda_bubble_sort,1.87514e+06,25319.6,true
AlmostInverted,8,0.166667,cuda_merge_sort,571693,11427.5,true
AlmostInverted,8,0.166667,cuda_counting_sort,410824,18826.6,true
AlmostInverted,8,0.166667,cuda_radix_sort,620711,25319.6,true
AlmostInverted,8,0.166667,cuda_heap_sort,0,0,true
AlmostInverted,8,0.166667,cuda_insertion_sort,0,0,true
AlmostInverted,8,0.166667,cuda_selection_sort,0,0,true
AlmostInverted,8,0.166667,cuda_shell_sort,0,0,true
AlmostInverted,8,0.25,cuda_bubble_sort,1.87048e+06,30719.2,true
AlmostInverted,8,0.25,cuda_merge_sort,568689,7915.29,true
AlmostInverted,8,0.25,cuda_counting_sort,415060,23294.9,true
AlmostInverted,8,0.25,cuda_radix_sort,613359,24906.3,true
AlmostInverted,8,0.25,cuda_heap_sort,0,0,true
AlmostInverted,8,0.25,cuda_insertion_sort,0,0,true
AlmostInverted,8,0.25,cuda_selection_sort,0,0,true
AlmostInverted,8,0.25,cuda_shell_sort,0,0,true
AlmostInverted,8,0.333333,cuda_bubble_sort,1.86937e+06,20151.5,true
AlmostInverted,8,0.333333,cuda_merge_sort,577404,15941.6,true
AlmostInverted,8,0.333333,cuda_counting_sort,409586,17723.6,true
AlmostInverted,8,0.333333,cuda_radix_sort,618127,23695.6,true
AlmostInverted,8,0.333333,cuda_heap_sort,0,0,true
AlmostInverted,8,0.333333,cuda_insertion_sort,0,0,true
